freelancer_id,hourly_rate,experience_years,rating,completed_projects,on_time_delivery_rate,response_time_hours,profile_views,repeat_client_rate,skill_category,country,english_level,availability,platform_badge,cluster,cluster_name,pc1,pc2
11,25.75,3.9,4.24,105,82.8,3.9,2582,16.3,customer_support,Argentina,advanced,full_time,verified,2,Bajo response time hours / Alto on time delivery rate,-0.1936795138340262,-0.6689627203510077
12,26.07,4.9,4.44,37,83.4,8.6,1713,31.9,data_analysis,Guatemala,intermediate,full_time,verified,2,Bajo response time hours / Alto on time delivery rate,-0.22840409766110267,-0.9671063404464862
13,10.66,1.3,3.88,18,75.6,43.2,659,3.7,web_development,Guatemala,native,limited,rising_talent,0,Bajo on time delivery rate / Bajo rating,-2.6540228087266855,-0.04180392980145349
14,14.8,0.6,3.86,4,68.8,10.1,408,11.0,machine_learning,El Salvador,intermediate,part_time,expert_vetted,0,Bajo on time delivery rate / Bajo rating,-2.3208393293283622,-0.8167311929488631
15,33.55,6.0,4.23,99,88.7,15.0,3020,36.2,graphic_design,Mexico,advanced,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.4819128756717882,-0.1770497705269648
16,20.46,0.7,4.04,6,74.6,32.2,814,14.0,copywriting,Argentina,intermediate,part_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.1853167540177423,-0.3121432139909674
17,43.23,6.7,4.21,104,96.0,15.9,1933,17.9,data_analysis,Argentina,intermediate,part_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.37024269939037213,-0.19899594500819334
18,75.58,14.9,4.86,84,96.7,4.9,2933,86.6,data_analysis,Mexico,advanced,part_time,none,1,Alto completed projects / Alto experience years,3.4490826483899633,0.147686612551516
19,12.8,2.1,4.27,33,76.2,44.4,924,21.5,web_development,Guatemala,intermediate,part_time,expert_vetted,0,Bajo on time delivery rate / Bajo rating,-1.8826402967062157,-0.1585519577891087
20,14.19,2.1,4.0,8,66.7,43.6,840,22.8,graphic_design,Costa Rica,basic,part_time,verified,0,Bajo on time delivery rate / Bajo rating,-2.3869738845640747,0.2163812801254893
21,88.04,14.2,4.68,207,96.7,3.5,7865,68.0,graphic_design,Argentina,advanced,limited,rising_talent,1,Alto completed projects / Alto experience years,4.563931821093835,1.4022573418954447
22,13.07,7.6,3.2,57,71.5,64.7,1777,16.2,machine_learning,Guatemala,advanced,part_time,rising_talent,0,Bajo on time delivery rate / Bajo rating,-2.3018216325122833,2.009854803125682
23,27.63,6.2,4.34,28,91.2,8.2,1167,26.1,machine_learning,Peru,native,part_time,expert_vetted,2,Bajo response time hours / Alto on time delivery rate,-0.14586262492925178,-1.0612122477898338
24,21.48,0.8,3.6,28,73.0,39.9,901,12.0,mobile_development,Chile,basic,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.5289205046467758,0.3910326188803904
25,79.34,14.5,4.89,180,93.6,1.5,3833,73.2,data_analysis,Chile,intermediate,full_time,none,1,Alto completed projects / Alto experience years,3.808096174952293,0.5187401366177867
26,72.72,8.5,4.87,274,96.8,7.3,6245,70.8,digital_marketing,Chile,intermediate,weekends,top_rated,1,Alto completed projects / Alto experience years,3.952585298494906,0.6552575899855692
27,31.04,5.7,4.51,119,84.4,4.1,2866,35.6,mobile_development,Chile,intermediate,part_time,none,2,Bajo response time hours / Alto on time delivery rate,0.713371380789113,-0.6311585511962396
28,14.65,2.5,3.57,27,85.4,31.9,658,18.5,web_development,Mexico,advanced,part_time,rising_talent,0,Bajo on time delivery rate / Bajo rating,-1.9239603906219451,-0.1424474902951911
29,68.23,11.5,4.97,142,94.6,6.6,4191,73.4,customer_support,Costa Rica,advanced,full_time,verified,1,Alto completed projects / Alto experience years,3.263823381535458,0.09859670957774563
30,68.73,9.1,4.7,221,97.7,4.6,2522,71.3,mobile_development,Chile,intermediate,limited,none,1,Alto completed projects / Alto experience years,3.0325543705172646,0.03837830474430933
31,13.36,0.5,3.69,27,74.4,30.6,1310,11.6,web_development,Costa Rica,intermediate,limited,none,0,Bajo on time delivery rate / Bajo rating,-2.35718329976323,-0.09748070432174587
32,42.29,6.3,4.52,119,89.6,10.8,2381,23.8,machine_learning,Peru,advanced,weekends,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.6638013912263054,-0.4113547148392042
33,90.98,14.8,4.81,281,95.9,5.6,9010,44.2,web_development,Chile,intermediate,part_time,none,1,Alto completed projects / Alto experience years,4.808998142913697,1.86119181876212
34,63.96,13.0,4.93,209,98.3,4.3,7272,77.5,data_analysis,Guatemala,advanced,limited,none,1,Alto completed projects / Alto experience years,4.398253312521675,0.5819782122169248
35,10.13,0.4,4.1,14,75.7,19.7,1211,10.5,data_analysis,Colombia,native,part_time,none,0,Bajo on time delivery rate / Bajo rating,-2.0266141289677373,-0.8851849262545554
36,36.93,6.8,4.44,116,84.8,10.7,3419,48.2,data_analysis,Guatemala,intermediate,full_time,none,2,Bajo response time hours / Alto on time delivery rate,1.0462387646651186,-0.1654071299865612
37,28.53,6.4,4.69,38,88.1,7.7,640,50.7,digital_marketing,El Salvador,intermediate,weekends,top_rated,2,Bajo response time hours / Alto on time delivery rate,0.4004849290342496,-1.3107374923051502
38,26.14,6.7,4.37,82,85.4,9.0,1590,39.4,copywriting,Colombia,intermediate,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.2720707663821222,-0.7017390617811669
39,16.35,2.6,4.0,34,86.8,13.3,1674,18.6,customer_support,El Salvador,intermediate,part_time,none,2,Bajo response time hours / Alto on time delivery rate,-1.0744753696581906,-0.8733695831601548
40,26.08,5.7,4.42,95,89.4,8.5,2839,44.8,digital_marketing,Chile,intermediate,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.703233472593159,-0.7463502855473074
41,92.54,12.5,4.68,327,92.8,5.1,12124,78.0,mobile_development,Chile,intermediate,part_time,none,1,Alto completed projects / Alto experience years,5.795437887062863,2.4142103207578396
42,26.86,6.9,4.53,114,95.2,11.3,1240,45.1,customer_support,El Salvador,intermediate,part_time,none,2,Bajo response time hours / Alto on time delivery rate,0.8313389147949016,-0.9255218645263716
43,32.54,8.4,3.28,14,64.0,55.1,557,3.0,mobile_development,Mexico,advanced,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.639464935171499,1.9988346207344618
44,39.39,4.5,4.75,63,94.0,15.9,2297,27.2,data_analysis,Argentina,advanced,part_time,none,2,Bajo response time hours / Alto on time delivery rate,0.42756407836806315,-0.898335123934163
45,15.73,0.5,3.87,31,71.7,18.8,1331,18.3,mobile_development,Chile,advanced,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-1.9604491563793032,-0.45681984909136786
46,30.28,5.9,3.58,39,72.3,21.9,1682,3.3,digital_marketing,El Salvador,basic,full_time,rising_talent,0,Bajo on time delivery rate / Bajo rating,-1.631196763069794,0.561333492430563
47,33.52,5.4,2.9,10,74.4,57.7,831,12.1,web_development,Chile,advanced,full_time,none,0,Bajo on time delivery rate / Bajo rating,-2.7160034715059775,1.9384526957728239
48,31.06,4.1,4.8,80,90.9,9.4,2045,18.6,data_analysis,Colombia,intermediate,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.2074835258884802,-1.2193298552973624
49,46.98,6.0,3.35,45,53.3,24.3,1363,15.5,customer_support,Costa Rica,basic,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-1.9474439137594934,1.615244578246664
50,31.05,3.2,4.36,41,95.0,8.7,2028,42.9,mobile_development,Colombia,intermediate,part_time,none,2,Bajo response time hours / Alto on time delivery rate,0.21847927034893214,-1.1480691581544147
51,19.78,0.3,4.35,10,76.5,37.2,788,13.7,mobile_development,El Salvador,advanced,full_time,verified,0,Bajo on time delivery rate / Bajo rating,-2.0645199373921455,-0.5364606181566873
52,158.08,6.5,2.7,78,86.8,112.2,2899,25.7,graphic_design,El Salvador,advanced,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-0.7864151751824979,6.163764932958821
53,31.38,4.3,4.31,114,85.3,8.0,2375,49.2,machine_learning,Costa Rica,native,weekends,top_rated,2,Bajo response time hours / Alto on time delivery rate,0.5438979391163845,-0.5684917062477325
54,21.51,0.4,4.37,22,85.0,43.2,1186,12.1,graphic_design,Costa Rica,advanced,limited,none,0,Bajo on time delivery rate / Bajo rating,-1.7747819451388462,-0.4688788556585091
55,58.25,12.0,4.76,121,98.5,7.0,2737,83.0,customer_support,Guatemala,advanced,part_time,rising_talent,1,Alto completed projects / Alto experience years,2.9807930374905887,-0.1944244226715644
56,25.69,3.4,4.79,106,91.9,4.3,1262,21.7,web_development,Chile,intermediate,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.2136216913665994,-1.5642797491439488
57,37.05,3.7,4.31,103,94.2,11.1,1694,24.6,digital_marketing,El Salvador,intermediate,part_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.1616997665568013,-0.7410043424506381
58,41.14,2.4,3.33,49,77.6,34.2,1305,19.2,mobile_development,Costa Rica,advanced,part_time,none,0,Bajo on time delivery rate / Bajo rating,-1.7791334698081656,0.9502605492535768
59,27.4,5.8,4.21,109,87.5,3.1,4357,49.6,customer_support,Chile,advanced,part_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,1.0526830456063374,-0.38822012212675655
60,10.66,0.8,4.18,9,79.4,44.3,772,16.9,copywriting,Colombia,basic,part_time,rising_talent,0,Bajo on time delivery rate / Bajo rating,-2.211344850162531,-0.394431476908326
61,9.85,1.6,4.37,34,76.5,20.4,1963,5.8,digital_marketing,Peru,advanced,full_time,none,0,Bajo on time delivery rate / Bajo rating,-1.597132327033817,-0.896665900507217
62,56.28,12.4,4.87,283,99.7,6.6,2919,58.3,data_analysis,El Salvador,intermediate,full_time,none,1,Alto completed projects / Alto experience years,3.450178191944787,0.14589739786713257
63,35.96,4.5,4.6,85,82.4,14.5,1252,37.5,customer_support,Chile,advanced,part_time,none,2,Bajo response time hours / Alto on time delivery rate,0.08491387939755644,-0.6503846703527729
64,21.94,0.3,3.71,35,68.1,27.2,1602,17.4,graphic_design,Costa Rica,advanced,weekends,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.1852328841670765,0.15460774741572808
65,24.03,7.2,3.06,61,76.4,64.2,2044,2.0,copywriting,Guatemala,intermediate,part_time,none,0,Bajo on time delivery rate / Bajo rating,-2.3319779445504976,2.2153522896288744
66,67.74,12.3,4.86,90,90.5,3.3,2067,89.4,mobile_development,Argentina,advanced,part_time,rising_talent,1,Alto completed projects / Alto experience years,2.8814086944442976,-0.17221681269473876
67,74.8,9.2,4.99,146,95.4,6.6,2053,45.5,mobile_development,Peru,basic,part_time,none,1,Alto completed projects / Alto experience years,2.3279763089590926,-0.22861885125823378
68,22.84,3.3,4.47,71,89.2,4.4,1453,35.2,digital_marketing,El Salvador,advanced,part_time,expert_vetted,2,Bajo response time hours / Alto on time delivery rate,0.007414930795499678,-1.3536130075283008
69,66.31,7.9,4.88,307,90.7,1.6,5383,70.4,copywriting,Costa Rica,native,full_time,top_rated,1,Alto completed projects / Alto experience years,3.7309058315852686,0.4642652441597004
70,22.48,5.8,4.71,108,94.3,10.2,3876,49.6,copywriting,El Salvador,intermediate,full_time,none,2,Bajo response time hours / Alto on time delivery rate,1.2793299080892881,-0.9572741454127032
71,26.37,6.8,4.61,85,82.9,13.8,3206,18.7,graphic_design,Guatemala,advanced,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.2263243235793349,-0.47048900848514913
72,12.95,2.0,4.18,4,87.3,32.8,726,10.1,customer_support,Argentina,advanced,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-1.8179081124825605,-0.8005324942084374
73,11.9,0.7,3.89,2,79.0,35.0,810,17.9,digital_marketing,Peru,intermediate,part_time,none,0,Bajo on time delivery rate / Bajo rating,-2.2576057950938044,-0.39893981187664435
74,48.48,12.9,4.99,126,97.5,2.5,3004,61.0,copywriting,Mexico,native,part_time,rising_talent,1,Alto completed projects / Alto experience years,2.8212736462504053,-0.5651779866203662
75,9.14,1.3,3.88,29,74.5,18.2,1012,13.8,customer_support,Chile,basic,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.014059920947565,-0.6643978605428912
76,12.22,0.6,3.62,17,71.7,14.6,740,13.4,mobile_development,Peru,basic,weekends,none,0,Bajo on time delivery rate / Bajo rating,-2.3342541013710942,-0.5545907078903964
77,20.9,2.6,4.02,26,81.3,25.9,1255,4.6,customer_support,Peru,basic,weekends,none,0,Bajo on time delivery rate / Bajo rating,-1.7164915936683156,-0.4089721100256601
78,33.1,4.6,4.39,68,85.1,13.1,1716,18.1,copywriting,Peru,advanced,weekends,rising_talent,2,Bajo response time hours / Alto on time delivery rate,-0.3155264492819104,-0.6452728970339102
79,10.05,0.6,4.04,5,69.1,39.4,601,13.4,copywriting,Peru,intermediate,part_time,none,0,Bajo on time delivery rate / Bajo rating,-2.6498605074104575,-0.20647223090890776
80,26.87,3.2,4.5,64,88.5,3.5,2500,29.7,data_analysis,Costa Rica,intermediate,full_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.10444320046060193,-1.2192812547799636
81,31.34,8.3,3.58,46,65.0,45.1,2232,19.2,copywriting,Mexico,intermediate,part_time,none,0,Bajo on time delivery rate / Bajo rating,-1.5582889661155457,1.7138234515964041
82,30.99,5.1,4.3,72,94.9,8.0,1323,46.0,copywriting,Mexico,intermediate,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.4356348140206299,-1.0040345783174363
83,19.92,2.9,4.04,10,72.7,32.1,1056,5.3,machine_learning,Colombia,advanced,limited,none,0,Bajo on time delivery rate / Bajo rating,-2.1224736986510973,-0.08769968284496395
84,39.79,6.3,4.6,119,96.0,14.9,2603,18.7,copywriting,Chile,intermediate,part_time,verified,2,Bajo response time hours / Alto on time delivery rate,0.7485899417977901,-0.5248623736888552
85,25.66,3.6,4.25,37,89.1,10.0,1854,44.5,graphic_design,Costa Rica,intermediate,part_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,-0.08594731484780484,-0.9872129343369205
86,42.57,5.9,4.23,71,91.5,6.1,2461,32.8,mobile_development,Argentina,intermediate,weekends,top_rated,2,Bajo response time hours / Alto on time delivery rate,0.5221476696754134,-0.4924145947327909
87,63.39,14.6,4.99,316,97.7,6.4,4114,65.1,graphic_design,Chile,basic,full_time,none,1,Alto completed projects / Alto experience years,4.264561407911097,0.6081540324021185
88,42.59,5.6,2.95,15,70.2,32.7,524,18.1,customer_support,Peru,native,full_time,none,0,Bajo on time delivery rate / Bajo rating,-2.1922247511794004,1.446538600661294
89,29.65,3.3,4.33,65,95.0,13.9,1054,41.0,customer_support,Colombia,advanced,full_time,top_rated,2,Bajo response time hours / Alto on time delivery rate,0.009781562007511594,-1.0484353447189625
90,12.82,2.9,2.98,98,65.1,40.9,1350,15.5,machine_learning,El Salvador,basic,weekends,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.593281514226797,1.3894876023751632
91,35.8,5.3,4.63,62,88.0,11.0,1695,24.6,copywriting,Mexico,native,full_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.12883861390291035,-0.9040937354142103
92,20.51,6.5,4.23,74,95.7,6.3,2030,15.6,data_analysis,Peru,basic,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.055884665948044705,-1.010984934268376
93,86.52,12.5,4.99,325,96.3,6.7,6916,43.2,mobile_development,Guatemala,advanced,weekends,none,1,Alto completed projects / Alto experience years,4.452552164411955,1.337558187870056
94,29.96,6.3,4.48,29,92.5,5.5,1248,29.3,digital_marketing,Mexico,advanced,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.12545071918329853,-1.2235887822269575
95,43.91,4.4,4.31,113,89.0,15.0,3202,35.8,machine_learning,Colombia,advanced,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.606378297424482,-0.1071820145377383
96,60.32,11.8,4.77,307,93.5,1.3,11010,83.5,web_development,Mexico,advanced,full_time,top_rated,1,Alto completed projects / Alto experience years,5.259480714793812,1.3674699559422352
97,53.0,7.2,4.94,304,90.3,1.5,6154,78.9,web_development,Colombia,advanced,limited,none,1,Alto completed projects / Alto experience years,3.799407639763357,0.22425693968149568
98,73.7,11.2,4.76,222,92.5,1.8,4670,76.8,data_analysis,Chile,advanced,full_time,none,1,Alto completed projects / Alto experience years,3.707736747964291,0.5561324480961499
99,37.35,7.0,4.32,42,93.9,8.9,1133,50.9,copywriting,Peru,advanced,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.5863080556131516,-0.8391097632851098
100,23.94,5.8,4.62,47,93.1,9.6,1361,19.9,customer_support,Guatemala,intermediate,full_time,top_rated,2,Bajo response time hours / Alto on time delivery rate,-0.024950680377789705,-1.3037041774650735
101,17.58,9.0,2.88,55,78.0,56.8,1737,10.5,graphic_design,Peru,advanced,full_time,rising_talent,0,Bajo on time delivery rate / Bajo rating,-2.1197197208434115,2.039013004423221
102,41.95,6.1,4.58,48,92.7,4.7,1991,35.1,graphic_design,Chile,intermediate,full_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.6588506901373932,-0.9978086653429161
103,43.52,6.6,4.71,57,84.7,15.4,1496,26.0,graphic_design,Colombia,intermediate,full_time,verified,2,Bajo response time hours / Alto on time delivery rate,0.20879734821846074,-0.5576311010931351
104,43.1,3.2,4.72,35,82.6,11.3,1430,38.1,web_development,El Salvador,native,full_time,top_rated,2,Bajo response time hours / Alto on time delivery rate,-0.019117003117427672,-0.9593548671375067
105,26.12,6.2,4.44,83,83.0,3.8,1742,32.6,graphic_design,Peru,advanced,part_time,expert_vetted,2,Bajo response time hours / Alto on time delivery rate,0.20931732237575087,-0.8511360619250388
106,29.97,6.0,4.51,38,86.5,9.1,700,25.7,machine_learning,Costa Rica,intermediate,weekends,none,2,Bajo response time hours / Alto on time delivery rate,-0.22829516285560586,-1.0620902791282085
107,34.44,4.3,4.66,88,95.9,9.1,1319,50.2,customer_support,Argentina,intermediate,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.7884258124219042,-1.242229496692132
108,42.06,5.6,4.48,93,82.1,4.4,2074,20.4,copywriting,Guatemala,intermediate,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.21705678756237232,-0.5277903431805478
109,21.84,5.0,4.66,60,93.6,11.1,1018,39.4,copywriting,Peru,advanced,part_time,top_rated,2,Bajo response time hours / Alto on time delivery rate,0.23913300958655298,-1.4151446443397082
110,21.13,3.5,4.4,85,89.3,4.9,3143,50.7,graphic_design,Costa Rica,native,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.581024091502026,-1.0722500327599307
111,40.71,5.1,4.63,63,88.6,3.2,1527,28.2,web_development,El Salvador,intermediate,full_time,expert_vetted,2,Bajo response time hours / Alto on time delivery rate,0.34800914330692245,-1.078335088704716
112,25.69,3.2,4.49,92,90.8,11.1,2458,48.6,data_analysis,Argentina,basic,part_time,none,2,Bajo response time hours / Alto on time delivery rate,0.49286726974689266,-0.9942793694660517
113,65.52,13.2,4.97,111,97.1,4.6,2706,68.0,copywriting,Colombia,intermediate,full_time,top_rated,1,Alto completed projects / Alto experience years,2.9982592716112118,-0.22558916930457962
114,88.38,12.4,4.92,215,96.1,2.3,3329,52.3,digital_marketing,Argentina,advanced,full_time,top_rated,1,Alto completed projects / Alto experience years,3.5109288269049936,0.5274632832897885
115,43.36,5.9,4.37,98,91.5,7.9,4132,54.2,graphic_design,Chile,basic,limited,none,2,Bajo response time hours / Alto on time delivery rate,1.3890930907118118,-0.2834460827397702
116,40.21,7.7,3.06,73,53.9,48.3,2289,5.4,mobile_development,Guatemala,advanced,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.3030534735115458,2.726546964652409
117,13.79,2.2,3.59,9,65.1,30.9,1198,23.4,customer_support,El Salvador,advanced,full_time,none,0,Bajo on time delivery rate / Bajo rating,-2.415946111193837,0.2944491492488001
118,21.48,6.1,4.59,54,89.5,12.4,1544,52.5,graphic_design,Guatemala,native,full_time,top_rated,2,Bajo response time hours / Alto on time delivery rate,0.4483171392867102,-1.122029042614776
119,53.37,9.3,3.85,6,54.8,50.6,777,18.6,customer_support,Colombia,advanced,full_time,none,0,Bajo on time delivery rate / Bajo rating,-1.8458361054319767,2.073965548023789
120,10.27,1.4,3.73,12,65.3,22.8,783,8.8,machine_learning,Costa Rica,intermediate,part_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.619026576483525,-0.20057673369615436
121,9.97,1.0,3.72,17,73.8,27.0,989,8.1,web_development,Chile,advanced,full_time,none,0,Bajo on time delivery rate / Bajo rating,-2.4556827547961033,-0.30715631665582926
122,12.3,1.2,3.95,20,80.9,34.3,415,23.6,customer_support,Colombia,intermediate,limited,none,0,Bajo on time delivery rate / Bajo rating,-1.9943918478171367,-0.47240698560295247
123,90.64,13.1,4.92,191,97.6,5.8,4778,69.8,copywriting,Mexico,native,part_time,rising_talent,1,Alto completed projects / Alto experience years,4.040839246598469,0.7844725408785889
124,20.69,5.8,3.0,71,59.6,54.7,2747,14.3,web_development,El Salvador,basic,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.4847867028313364,2.354255507146664
125,36.82,4.2,4.21,57,93.4,12.7,1051,38.1,web_development,Mexico,native,full_time,none,2,Bajo response time hours / Alto on time delivery rate,-0.004951166716166491,-0.7929820182375726
126,9.9,1.9,4.16,27,73.6,43.9,573,12.3,graphic_design,Peru,basic,limited,none,0,Bajo on time delivery rate / Bajo rating,-2.314114826480974,-0.1691155684530034
127,21.7,2.5,4.18,20,75.6,37.3,755,11.8,copywriting,Colombia,intermediate,limited,rising_talent,0,Bajo on time delivery rate / Bajo rating,-1.9496127740732103,-0.1496959507725797
128,19.33,1.3,4.19,2,70.5,12.6,945,15.7,web_development,Argentina,advanced,full_time,none,0,Bajo on time delivery rate / Bajo rating,-1.8199791145421633,-0.8816276829825208
129,20.09,0.2,3.95,19,70.4,44.8,1386,15.3,copywriting,Argentina,intermediate,part_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.43193237538773,0.2949602470589667
130,12.21,0.2,4.35,12,79.4,26.2,1088,13.4,machine_learning,Peru,advanced,full_time,none,0,Bajo on time delivery rate / Bajo rating,-1.8523041989578126,-1.0214704063522082
131,15.53,0.7,3.7,10,83.5,44.8,367,14.9,machine_learning,Argentina,intermediate,full_time,none,0,Bajo on time delivery rate / Bajo rating,-2.463212542792789,-0.05143298637918233
132,29.28,5.1,4.7,31,85.8,11.8,1184,39.1,mobile_development,El Salvador,intermediate,limited,none,2,Bajo response time hours / Alto on time delivery rate,0.0195023830706363,-1.1706836073394238
133,21.11,2.7,3.69,100,78.0,43.9,1597,4.9,copywriting,Chile,intermediate,full_time,none,0,Bajo on time delivery rate / Bajo rating,-1.889189193516089,0.7311957927488674
134,15.18,1.5,3.59,31,82.5,22.2,1170,6.7,mobile_development,Colombia,basic,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.0264668241907824,-0.35461244854470486
135,59.76,8.6,4.69,205,95.0,5.6,6927,74.2,customer_support,El Salvador,intermediate,weekends,none,1,Alto completed projects / Alto experience years,3.5152063562990548,0.4631400309569584
136,69.42,14.3,4.82,110,95.2,6.9,1030,43.7,machine_learning,Colombia,advanced,part_time,rising_talent,1,Alto completed projects / Alto experience years,2.259215053771106,-0.02997998605872351
137,15.08,1.1,4.06,31,80.2,10.6,1000,14.2,digital_marketing,Chile,basic,weekends,rising_talent,0,Bajo on time delivery rate / Bajo rating,-1.5436860184470793,-1.100049949971652
138,90.49,7.9,4.64,156,92.4,5.3,4676,52.6,copywriting,Costa Rica,intermediate,part_time,rising_talent,1,Alto completed projects / Alto experience years,2.739398868571722,0.6645367517677235
139,40.7,3.3,4.8,108,92.6,4.2,1036,30.2,graphic_design,Mexico,intermediate,full_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.5388021654517067,-1.3507424183860417
140,41.45,3.4,4.52,30,85.2,14.7,535,42.7,digital_marketing,Guatemala,intermediate,weekends,none,2,Bajo response time hours / Alto on time delivery rate,-0.2247355895861806,-0.9053304238006841
141,10.02,2.5,4.24,5,71.9,31.4,684,15.0,copywriting,Costa Rica,advanced,part_time,expert_vetted,0,Bajo on time delivery rate / Bajo rating,-2.0923655540286594,-0.5265456203877514
142,70.04,14.8,4.62,303,92.3,1.5,8088,70.3,copywriting,Guatemala,advanced,weekends,top_rated,1,Alto completed projects / Alto experience years,4.783406364195796,1.5363879396422713
143,15.74,1.1,3.67,25,67.0,33.5,412,20.4,machine_learning,Colombia,advanced,part_time,none,0,Bajo on time delivery rate / Bajo rating,-2.5398932409323653,0.17596810255535983
144,12.32,1.1,3.74,9,67.0,26.4,188,14.8,copywriting,Mexico,advanced,weekends,verified,0,Bajo on time delivery rate / Bajo rating,-2.644873188753121,-0.2470977701887967
145,13.79,2.3,4.15,16,78.2,16.4,762,10.8,graphic_design,Mexico,intermediate,part_time,none,0,Bajo on time delivery rate / Bajo rating,-1.7092373377418781,-0.9296665169358281
146,63.06,14.6,4.89,333,95.9,2.4,11534,45.3,machine_learning,Peru,intermediate,full_time,rising_talent,1,Alto completed projects / Alto experience years,5.239329849001737,1.623967986444719
147,74.72,9.4,4.84,182,94.8,2.2,5715,59.9,customer_support,Argentina,intermediate,part_time,rising_talent,1,Alto completed projects / Alto experience years,3.36358761223114,0.3792176774170957
148,43.3,3.8,4.8,48,91.5,10.2,1750,53.1,digital_marketing,Mexico,advanced,weekends,none,2,Bajo response time hours / Alto on time delivery rate,0.7410723125620732,-1.1591063078448034
149,35.83,4.0,4.6,116,87.9,7.9,3298,33.0,machine_learning,Guatemala,advanced,full_time,verified,2,Bajo response time hours / Alto on time delivery rate,0.7118538813329431,-0.687652609484583
