review_id,freelancer_id,client_id,review_text,client_rating,communication_score,quality_score,delivery_score,budget_usd,project_category,cluster,cluster_name,pc1,pc2
34,34,1589,hubo problemas de seguimiento y varias tareas quedaron incompletas el alcance incluia revision de entregables,2.5,3.23,3.39,2.73,327.84,mobile_development,1,Alcance / Revision,0.12208605757547568,-0.004646307948035525
35,35,1756,la calidad fue alta y mantuvo comunicacion constante durante el proceso se evaluo tiempo calidad y comunicacion,4.99,4.67,4.65,4.48,1544.74,copywriting,2,Calidad / Proyecto,0.4290873859875858,-0.24929675818480868
36,36,1920,muy buen servicio recomendado para proyectos futuros la experiencia general fue registrada por el cliente,4.48,4.28,4.53,4.63,1385.27,customer_support,1,Alcance / Revision,0.31835615596656497,-0.019062936555845712
37,37,1093,excelente trabajo buena comunicacion y entrega rapida el proyecto fue realizado en modalidad remota,4.87,4.64,4.97,4.58,1035.03,graphic_design,0,Trabajo / Buena,0.4193955828456119,-0.2036454647656769
38,38,2193,resultado funcional con algunos detalles pendientes al inicio la experiencia general fue registrada por el cliente,4.24,3.27,3.62,3.94,1185.75,digital_marketing,2,Calidad / Proyecto,0.19963962666889068,-0.015694560338150913
39,39,2444,cumplio con la mayor parte del alcance definido la experiencia general fue registrada por el cliente,3.62,3.58,4.02,3.66,2349.16,digital_marketing,1,Alcance / Revision,0.23705451600815616,-0.007884944006124026
40,40,1767,se necesito retrabajo porque la primera version tenia errores importantes el proyecto fue realizado en modalidad remota,2.84,2.06,3.23,2.46,2203.09,mobile_development,2,Calidad / Proyecto,0.11365936342356914,-0.00801199982634137
41,41,2249,excelente trabajo buena comunicacion y entrega rapida se evaluo tiempo calidad y comunicacion,4.48,4.52,4.64,4.67,4249.25,machine_learning,0,Trabajo / Buena,0.4354741095987076,-0.242626295098361
42,42,1881,buena disposicion para corregir observaciones despues de la revision el proyecto fue realizado en modalidad remota,4.29,3.78,3.35,3.3,903.81,digital_marketing,1,Alcance / Revision,0.22552643280590962,-0.04440181678389818
43,43,2090,el trabajo fue correcto aunque hubo algunos ajustes menores el cliente solicito cambios adicionales,4.13,4.34,4.38,3.57,1368.08,digital_marketing,0,Trabajo / Buena,0.21866380358880233,0.0021930456650163343
44,44,1582,muy buen servicio recomendado para proyectos futuros el alcance incluia revision de entregables,4.72,4.8,4.89,4.37,1985.26,copywriting,1,Alcance / Revision,0.3044048235574527,-0.016883245622181985
45,45,1078,muy buen servicio recomendado para proyectos futuros se evaluo tiempo calidad y comunicacion,4.66,4.92,4.62,4.84,2690.16,customer_support,1,Alcance / Revision,0.3387982691383164,-0.06537790611301461
46,46,1839,muy buen servicio recomendado para proyectos futuros el cliente solicito cambios adicionales,4.95,4.77,4.97,4.78,108.63,machine_learning,1,Alcance / Revision,0.3378196388583868,0.03821701542922849
47,47,2337,muy profesional cumplio con todos los requerimientos del proyecto el cliente solicito cambios adicionales,4.97,4.77,4.64,4.58,850.14,graphic_design,2,Calidad / Proyecto,0.38392463116387504,0.04006173955950594
48,48,2389,la entrega fue aceptable pero la comunicacion pudo ser mejor el alcance incluia revision de entregables,3.6,3.46,3.48,3.84,2332.3,machine_learning,1,Alcance / Revision,0.2311336794596531,-0.045863769608096586
49,49,2380,muy buen servicio recomendado para proyectos futuros la experiencia general fue registrada por el cliente,4.89,4.81,4.7,4.46,2255.84,machine_learning,1,Alcance / Revision,0.31835615596656497,-0.019062936555845712
50,50,1543,muy buen servicio recomendado para proyectos futuros el cliente solicito cambios adicionales,4.65,4.79,4.33,4.53,4328.99,customer_support,1,Alcance / Revision,0.3378196388583868,0.03821701542922849
51,51,1050,el trabajo fue correcto aunque hubo algunos ajustes menores el alcance incluia revision de entregables,3.94,3.37,4.24,3.56,1573.42,mobile_development,1,Alcance / Revision,0.19517803158518884,-0.03958552772848781
52,52,1823,el trabajo fue correcto aunque hubo algunos ajustes menores el cliente solicito cambios adicionales,3.87,3.47,4.06,3.61,855.5,customer_support,0,Trabajo / Buena,0.21866380358880233,0.0021930456650163343
53,53,1919,muy profesional cumplio con todos los requerimientos del proyecto el proyecto fue realizado en modalidad remota,4.64,4.55,4.7,4.37,1142.78,web_development,2,Calidad / Proyecto,0.35303839533907366,-0.02423339984420317
54,54,2274,entrego antes de la fecha limite y resolvio cambios rapidamente el proyecto fue realizado en modalidad remota,4.79,4.51,4.32,4.27,4032.05,copywriting,2,Calidad / Proyecto,0.4133335739877263,0.7138336761682821
55,55,1241,entrego antes de la fecha limite y resolvio cambios rapidamente la experiencia general fue registrada por el cliente,4.51,4.93,4.76,4.9,1660.59,machine_learning,2,Calidad / Proyecto,0.41968841203836366,0.721318814964547
56,56,1467,se necesito retrabajo porque la primera version tenia errores importantes el alcance incluia revision de entregables,3.15,3.28,2.63,2.02,4231.27,web_development,1,Alcance / Revision,0.10678157413428893,-0.0035492159197932993
57,57,1766,resultado funcional con algunos detalles pendientes al inicio el proyecto fue realizado en modalidad remota,3.73,3.78,3.56,4.35,2317.68,web_development,2,Calidad / Proyecto,0.19681244416130192,-0.019878838114852772
58,58,1133,la calidad fue alta y mantuvo comunicacion constante durante el proceso se evaluo tiempo calidad y comunicacion,4.61,4.33,4.35,4.41,623.11,customer_support,2,Calidad / Proyecto,0.4290873859875858,-0.24929675818480868
59,59,2477,la entrega se atraso y fue necesario solicitar muchas correcciones el alcance incluia revision de entregables,2.82,3.2,2.86,1.54,329.61,web_development,1,Alcance / Revision,0.15041365079912364,-0.017930323908603652
60,60,1549,muy buen servicio recomendado para proyectos futuros el proyecto fue realizado en modalidad remota,4.47,4.94,4.6,4.65,335.17,digital_marketing,1,Alcance / Revision,0.3169425230792446,-0.02421572013193888
61,61,1447,la entrega se atraso y fue necesario solicitar muchas correcciones se evaluo tiempo calidad y comunicacion,2.06,2.43,2.77,2.67,944.11,customer_support,0,Trabajo / Buena,0.17373754693334284,-0.05365415790729058
62,62,1461,excelente trabajo buena comunicacion y entrega rapida la experiencia general fue registrada por el cliente,4.64,4.63,4.63,4.52,3140.9,customer_support,0,Trabajo / Buena,0.42502318402877753,-0.1990261469323521
63,63,2018,excelente trabajo buena comunicacion y entrega rapida el proyecto fue realizado en modalidad remota,4.63,4.39,4.75,4.65,817.97,graphic_design,0,Trabajo / Buena,0.4193955828456119,-0.2036454647656769
64,64,1306,entrego antes de la fecha limite y resolvio cambios rapidamente se evaluo tiempo calidad y comunicacion,4.54,4.3,4.91,4.91,4988.23,mobile_development,2,Calidad / Proyecto,0.4358299568953442,0.6860530701720509
65,65,2033,muy profesional cumplio con todos los requerimientos del proyecto el proyecto fue realizado en modalidad remota,4.69,4.6,4.62,4.7,1360.41,customer_support,2,Calidad / Proyecto,0.35303839533907366,-0.02423339984420317
66,66,2059,muy buen servicio recomendado para proyectos futuros el proyecto fue realizado en modalidad remota,4.46,4.83,4.52,4.93,755.64,machine_learning,1,Alcance / Revision,0.3169425230792446,-0.02421572013193888
67,67,2342,muy buen servicio recomendado para proyectos futuros el proyecto fue realizado en modalidad remota,4.75,4.83,4.88,4.62,4883.6,copywriting,1,Alcance / Revision,0.3169425230792446,-0.02421572013193888
68,68,1485,buena disposicion para corregir observaciones despues de la revision se evaluo tiempo calidad y comunicacion,4.2,3.68,4.0,3.72,755.06,mobile_development,1,Alcance / Revision,0.2438185347036183,-0.0786970704108667
69,69,1058,la calidad fue alta y mantuvo comunicacion constante durante el proceso la experiencia general fue registrada por el cliente,4.71,4.47,4.45,4.35,294.74,mobile_development,2,Calidad / Proyecto,0.4309098465925242,-0.2156895061100562
70,70,1755,muy buen servicio recomendado para proyectos futuros se evaluo tiempo calidad y comunicacion,4.5,4.85,4.7,4.92,1816.41,mobile_development,1,Alcance / Revision,0.3387982691383164,-0.06537790611301461
71,71,1952,entrego antes de la fecha limite y resolvio cambios rapidamente se evaluo tiempo calidad y comunicacion,4.7,4.87,4.5,4.42,260.68,data_analysis,2,Calidad / Proyecto,0.4358299568953442,0.6860530701720509
72,72,1976,cumplio con la mayor parte del alcance definido el proyecto fue realizado en modalidad remota,3.54,4.11,4.23,4.28,3091.78,copywriting,1,Alcance / Revision,0.23066647467714077,-0.012156771378139104
73,73,1937,entrego antes de la fecha limite y resolvio cambios rapidamente se evaluo tiempo calidad y comunicacion,4.45,4.7,4.88,4.35,116.72,graphic_design,2,Calidad / Proyecto,0.4358299568953442,0.6860530701720509
74,74,1093,excelente trabajo buena comunicacion y entrega rapida el cliente solicito cambios adicionales,4.59,4.48,4.84,4.83,3163.44,mobile_development,0,Trabajo / Buena,0.4413960815227763,-0.1442358814714688
75,75,2354,la calidad fue alta y mantuvo comunicacion constante durante el proceso el proyecto fue realizado en modalidad remota,4.47,4.69,4.81,4.88,4049.16,machine_learning,2,Calidad / Proyecto,0.4257143993595313,-0.22001969944741953
76,76,2154,trabajo limpio bien documentado y con buena atencion al cliente la experiencia general fue registrada por el cliente,4.98,4.52,4.66,4.48,2721.44,mobile_development,0,Trabajo / Buena,0.44600969064337526,-0.25976874055438764
77,77,1717,buena disposicion para corregir observaciones despues de la revision la experiencia general fue registrada por el cliente,4.02,3.48,3.68,3.56,3292.25,mobile_development,1,Alcance / Revision,0.23076046432046174,-0.04059844161417105
78,78,1346,trabajo limpio bien documentado y con buena atencion al cliente el alcance incluia revision de entregables,4.67,4.34,4.97,4.52,4494.02,graphic_design,0,Trabajo / Buena,0.43735375846862357,-0.2612008221637431
79,79,1489,la calidad fue alta y mantuvo comunicacion constante durante el proceso el cliente solicito cambios adicionales,4.48,4.4,4.86,4.69,4944.32,data_analysis,2,Calidad / Proyecto,0.44738001028300783,-0.16533786720924093
80,80,2245,resultado funcional con algunos detalles pendientes al inicio el proyecto fue realizado en modalidad remota,3.87,4.29,4.28,4.17,3071.64,customer_support,2,Calidad / Proyecto,0.19681244416130192,-0.019878838114852772
81,81,1086,excelente trabajo buena comunicacion y entrega rapida la experiencia general fue registrada por el cliente,4.78,4.36,4.81,4.69,2924.34,web_development,0,Trabajo / Buena,0.42502318402877753,-0.1990261469323521
82,82,2259,el trabajo fue correcto aunque hubo algunos ajustes menores el proyecto fue realizado en modalidad remota,4.02,4.34,4.24,4.39,1934.06,mobile_development,0,Trabajo / Buena,0.2055904992311845,-0.04574197773761029
83,83,1877,muy buen servicio recomendado para proyectos futuros el proyecto fue realizado en modalidad remota,4.5,4.91,4.55,4.71,3744.66,graphic_design,1,Alcance / Revision,0.3169425230792446,-0.02421572013193888
84,84,2485,excelente trabajo buena comunicacion y entrega rapida el proyecto fue realizado en modalidad remota,4.45,4.93,4.68,4.44,182.79,copywriting,0,Trabajo / Buena,0.4193955828456119,-0.2036454647656769
85,85,1625,resultado funcional con algunos detalles pendientes al inicio el proyecto fue realizado en modalidad remota,4.04,4.38,3.4,3.32,4942.53,customer_support,2,Calidad / Proyecto,0.19681244416130192,-0.019878838114852772
86,86,1786,la calidad fue alta y mantuvo comunicacion constante durante el proceso el alcance incluia revision de entregables,4.92,4.49,4.45,4.24,2068.49,graphic_design,2,Calidad / Proyecto,0.4127632973370993,-0.21143609568669322
87,87,1398,entrego antes de la fecha limite y resolvio cambios rapidamente el cliente solicito cambios adicionales,4.65,4.87,4.63,4.63,3061.82,web_development,2,Calidad / Proyecto,0.42361174624686704,0.7615499571844175
88,88,1174,buena disposicion para corregir observaciones despues de la revision el alcance incluia revision de entregables,3.65,3.54,3.55,4.12,526.08,mobile_development,1,Alcance / Revision,0.21012874880312718,-0.03720751675177764
89,89,1408,muy profesional cumplio con todos los requerimientos del proyecto la experiencia general fue registrada por el cliente,4.51,4.97,4.53,4.24,382.96,digital_marketing,2,Calidad / Proyecto,0.36495445661702364,-0.019598354241169152
90,90,2076,la entrega fue aceptable pero la comunicacion pudo ser mejor el cliente solicito cambios adicionales,3.59,3.96,4.02,4.06,1143.33,customer_support,0,Trabajo / Buena,0.26087054224680223,0.0028876739538641573
91,91,1984,trabajo limpio bien documentado y con buena atencion al cliente la experiencia general fue registrada por el cliente,4.74,4.28,4.59,4.27,4095.31,mobile_development,0,Trabajo / Buena,0.44600969064337526,-0.25976874055438764
92,92,2071,trabajo limpio bien documentado y con buena atencion al cliente el cliente solicito cambios adicionales,4.72,4.72,4.7,4.78,2771.85,data_analysis,0,Trabajo / Buena,0.4621317504271238,-0.21010091661881056
93,93,2388,la calidad fue alta y mantuvo comunicacion constante durante el proceso la experiencia general fue registrada por el cliente,4.99,4.72,4.5,4.45,2922.0,mobile_development,2,Calidad / Proyecto,0.4309098465925242,-0.2156895061100562
94,94,1759,excelente trabajo buena comunicacion y entrega rapida se evaluo tiempo calidad y comunicacion,4.44,4.36,4.81,4.57,4211.65,mobile_development,0,Trabajo / Buena,0.4354741095987076,-0.242626295098361
95,95,2228,resultado funcional con algunos detalles pendientes al inicio el proyecto fue realizado en modalidad remota,3.51,3.48,3.41,3.43,1482.17,machine_learning,2,Calidad / Proyecto,0.19681244416130192,-0.019878838114852772
96,96,1099,hubo problemas de seguimiento y varias tareas quedaron incompletas la experiencia general fue registrada por el cliente,2.69,3.29,2.64,2.28,2008.44,digital_marketing,2,Calidad / Proyecto,0.13169424317754178,-0.0062013445288145435
97,97,2494,trabajo limpio bien documentado y con buena atencion al cliente la experiencia general fue registrada por el cliente,4.92,4.67,4.57,4.66,4576.95,digital_marketing,0,Trabajo / Buena,0.44600969064337526,-0.25976874055438764
98,98,1462,trabajo limpio bien documentado y con buena atencion al cliente el alcance incluia revision de entregables,4.95,4.28,4.53,4.83,2182.62,web_development,0,Trabajo / Buena,0.43735375846862357,-0.2612008221637431
99,99,2163,excelente trabajo buena comunicacion y entrega rapida la experiencia general fue registrada por el cliente,4.83,4.83,4.53,4.81,2826.65,digital_marketing,0,Trabajo / Buena,0.42502318402877753,-0.1990261469323521
100,100,1967,cumplio con la mayor parte del alcance definido el cliente solicito cambios adicionales,3.8,4.37,4.39,3.78,4171.78,digital_marketing,1,Alcance / Revision,0.24892040604296553,0.043774130270476094
101,101,1191,trabajo limpio bien documentado y con buena atencion al cliente el cliente solicito cambios adicionales,4.87,4.71,4.83,4.59,4241.63,customer_support,0,Trabajo / Buena,0.4621317504271238,-0.21010091661881056
102,102,1601,muy profesional cumplio con todos los requerimientos del proyecto el proyecto fue realizado en modalidad remota,4.67,4.82,4.87,4.21,4595.03,copywriting,2,Calidad / Proyecto,0.35303839533907366,-0.02423339984420317
103,103,1962,muy buen servicio recomendado para proyectos futuros el cliente solicito cambios adicionales,4.79,4.23,4.56,4.5,990.62,machine_learning,1,Alcance / Revision,0.3378196388583868,0.03821701542922849
104,104,1200,trabajo limpio bien documentado y con buena atencion al cliente la experiencia general fue registrada por el cliente,4.82,4.49,4.77,4.37,4203.96,graphic_design,0,Trabajo / Buena,0.44600969064337526,-0.25976874055438764
105,105,1993,cumplio con la mayor parte del alcance definido la experiencia general fue registrada por el cliente,4.2,4.15,4.27,3.49,2393.1,customer_support,1,Alcance / Revision,0.23705451600815616,-0.007884944006124026
106,106,1485,el trabajo fue correcto aunque hubo algunos ajustes menores el cliente solicito cambios adicionales,3.44,4.13,3.33,3.61,425.11,machine_learning,0,Trabajo / Buena,0.21866380358880233,0.0021930456650163343
107,107,2288,resultado funcional con algunos detalles pendientes al inicio se evaluo tiempo calidad y comunicacion,4.22,4.02,4.17,4.35,296.1,customer_support,2,Calidad / Proyecto,0.21267730127759066,-0.053526171195825235
108,108,2454,excelente trabajo buena comunicacion y entrega rapida la experiencia general fue registrada por el cliente,4.63,4.88,4.85,4.23,898.19,digital_marketing,0,Trabajo / Buena,0.42502318402877753,-0.1990261469323521
109,109,2471,la calidad fue alta y mantuvo comunicacion constante durante el proceso el proyecto fue realizado en modalidad remota,4.6,4.48,4.67,4.84,4129.74,copywriting,2,Calidad / Proyecto,0.4257143993595313,-0.22001969944741953
110,110,1368,muy buen servicio recomendado para proyectos futuros el cliente solicito cambios adicionales,5.0,4.36,4.92,4.4,1039.94,graphic_design,1,Alcance / Revision,0.3378196388583868,0.03821701542922849
111,111,1444,la calidad fue alta y mantuvo comunicacion constante durante el proceso el alcance incluia revision de entregables,4.96,4.61,4.7,4.24,148.69,mobile_development,2,Calidad / Proyecto,0.4127632973370993,-0.21143609568669322
112,112,1202,muy profesional cumplio con todos los requerimientos del proyecto el alcance incluia revision de entregables,4.73,4.85,4.58,4.73,3158.65,web_development,1,Alcance / Revision,0.3467784723359817,-0.017093122250106327
113,113,1634,muy profesional cumplio con todos los requerimientos del proyecto el cliente solicito cambios adicionales,4.51,4.89,4.39,4.74,3202.91,customer_support,2,Calidad / Proyecto,0.38392463116387504,0.04006173955950594
114,114,2172,cumplio con la mayor parte del alcance definido el proyecto fue realizado en modalidad remota,3.49,3.48,4.22,4.07,3608.68,copywriting,1,Alcance / Revision,0.23066647467714077,-0.012156771378139104
115,115,1729,el resultado no cumplio completamente con la calidad esperada la experiencia general fue registrada por el cliente,2.07,2.22,2.51,1.6,3332.94,copywriting,2,Calidad / Proyecto,0.18770184040764168,-0.018419833295914827
116,116,2334,la entrega se atraso y fue necesario solicitar muchas correcciones la experiencia general fue registrada por el cliente,2.04,2.01,3.21,1.51,2232.21,mobile_development,0,Trabajo / Buena,0.16135453486589602,-0.019596205248422063
117,117,1982,la calidad fue alta y mantuvo comunicacion constante durante el proceso la experiencia general fue registrada por el cliente,4.42,4.43,4.51,4.88,3832.15,machine_learning,2,Calidad / Proyecto,0.4309098465925242,-0.2156895061100562
118,118,1353,la entrega fue aceptable pero la comunicacion pudo ser mejor el proyecto fue realizado en modalidad remota,3.76,3.92,3.95,3.72,1264.7,web_development,0,Trabajo / Buena,0.24254816968427906,-0.052821716763353344
119,119,2057,la comunicacion fue lenta y algunos requerimientos no quedaron claros el cliente solicito cambios adicionales,2.79,3.18,2.89,2.73,3188.52,web_development,2,Calidad / Proyecto,0.18415760170871032,0.018559892482654928
120,120,1266,muy profesional cumplio con todos los requerimientos del proyecto el alcance incluia revision de entregables,4.5,4.52,4.79,4.26,1998.01,web_development,1,Alcance / Revision,0.3467784723359817,-0.017093122250106327
121,121,1854,muy profesional cumplio con todos los requerimientos del proyecto se evaluo tiempo calidad y comunicacion,4.67,4.72,4.47,4.25,511.98,graphic_design,2,Calidad / Proyecto,0.38444299366959644,-0.06747718483622409
122,122,2387,el resultado no cumplio completamente con la calidad esperada el cliente solicito cambios adicionales,2.04,2.69,3.16,1.66,3411.78,copywriting,2,Calidad / Proyecto,0.19758064563515387,0.024553345080708687
123,123,2085,trabajo limpio bien documentado y con buena atencion al cliente la experiencia general fue registrada por el cliente,4.85,4.22,4.34,4.75,2158.31,copywriting,0,Trabajo / Buena,0.44600969064337526,-0.25976874055438764
124,124,2478,se necesito retrabajo porque la primera version tenia errores importantes la experiencia general fue registrada por el cliente,2.81,3.0,2.69,3.03,4556.25,graphic_design,2,Calidad / Proyecto,0.11603959929782837,-0.005002998668383143
125,125,2117,la entrega se atraso y fue necesario solicitar muchas correcciones se evaluo tiempo calidad y comunicacion,3.06,2.61,2.54,1.74,1479.24,web_development,0,Trabajo / Buena,0.17373754693334284,-0.05365415790729058
126,126,1404,buena disposicion para corregir observaciones despues de la revision el proyecto fue realizado en modalidad remota,4.29,3.57,3.93,3.34,4247.21,web_development,1,Alcance / Revision,0.22552643280590962,-0.04440181678389818
127,127,1567,muy buen servicio recomendado para proyectos futuros el proyecto fue realizado en modalidad remota,4.98,4.68,4.4,4.47,2950.43,data_analysis,1,Alcance / Revision,0.3169425230792446,-0.02421572013193888
128,128,2168,buena disposicion para corregir observaciones despues de la revision el cliente solicito cambios adicionales,4.15,4.16,3.4,4.04,694.45,copywriting,1,Alcance / Revision,0.24526778042320033,0.006485956622494004
129,129,2439,muy profesional cumplio con todos los requerimientos del proyecto la experiencia general fue registrada por el cliente,4.88,4.64,4.71,4.99,991.96,mobile_development,2,Calidad / Proyecto,0.36495445661702364,-0.019598354241169152
130,130,1489,muy buen servicio recomendado para proyectos futuros se evaluo tiempo calidad y comunicacion,4.59,4.31,4.83,4.51,2967.22,customer_support,1,Alcance / Revision,0.3387982691383164,-0.06537790611301461
131,131,1823,excelente trabajo buena comunicacion y entrega rapida se evaluo tiempo calidad y comunicacion,4.92,4.53,4.62,4.53,3568.11,customer_support,0,Trabajo / Buena,0.4354741095987076,-0.242626295098361
132,132,1690,muy profesional cumplio con todos los requerimientos del proyecto el proyecto fue realizado en modalidad remota,4.59,4.81,4.9,4.57,3598.2,digital_marketing,2,Calidad / Proyecto,0.35303839533907366,-0.02423339984420317
133,133,2262,trabajo limpio bien documentado y con buena atencion al cliente el cliente solicito cambios adicionales,4.86,4.21,4.44,4.27,212.81,data_analysis,0,Trabajo / Buena,0.4621317504271238,-0.21010091661881056
134,134,1189,cumplio con la mayor parte del alcance definido se evaluo tiempo calidad y comunicacion,3.73,3.25,3.43,3.92,4329.48,graphic_design,1,Alcance / Revision,0.24889186851631964,-0.04872914749445477
