freelancer_id,hourly_rate,experience_years,rating,completed_projects,on_time_delivery_rate,response_time_hours,profile_views,repeat_client_rate,skill_category,country,english_level,availability,platform_badge
42,26.86,6.9,4.53,114,95.2,11.3,1240,45.1,customer_support,El Salvador,intermediate,part_time,none
43,32.54,8.4,3.28,14,64.0,55.1,557,3.0,mobile_development,Mexico,advanced,full_time,top_rated
44,39.39,4.5,4.75,63,94.0,15.9,2297,27.2,data_analysis,Argentina,advanced,part_time,none
45,15.73,0.5,3.87,31,71.7,18.8,1331,18.3,mobile_development,Chile,advanced,full_time,top_rated
46,30.28,5.9,3.58,39,72.3,21.9,1682,3.3,digital_marketing,El Salvador,basic,full_time,rising_talent
47,33.52,5.4,2.9,10,74.4,57.7,831,12.1,web_development,Chile,advanced,full_time,none
48,31.06,4.1,4.8,80,90.9,9.4,2045,18.6,data_analysis,Colombia,intermediate,full_time,none
49,46.98,6.0,3.35,45,53.3,24.3,1363,15.5,customer_support,Costa Rica,basic,full_time,top_rated
50,31.05,3.2,4.36,41,95.0,8.7,2028,42.9,mobile_development,Colombia,intermediate,part_time,none
51,19.78,0.3,4.35,10,76.5,37.2,788,13.7,mobile_development,El Salvador,advanced,full_time,verified
52,158.08,6.5,2.7,78,86.8,112.2,2899,25.7,graphic_design,El Salvador,advanced,full_time,top_rated
53,31.38,4.3,4.31,114,85.3,8.0,2375,49.2,machine_learning,Costa Rica,native,weekends,top_rated
54,21.51,0.4,4.37,22,85.0,43.2,1186,12.1,graphic_design,Costa Rica,advanced,limited,none
55,58.25,12.0,4.76,121,98.5,7.0,2737,83.0,customer_support,Guatemala,advanced,part_time,rising_talent
56,25.69,3.4,4.79,106,91.9,4.3,1262,21.7,web_development,Chile,intermediate,full_time,none
57,37.05,3.7,4.31,103,94.2,11.1,1694,24.6,digital_marketing,El Salvador,intermediate,part_time,rising_talent
58,41.14,2.4,3.33,49,77.6,34.2,1305,19.2,mobile_development,Costa Rica,advanced,part_time,none
59,27.4,5.8,4.21,109,87.5,3.1,4357,49.6,customer_support,Chile,advanced,part_time,rising_talent
60,10.66,0.8,4.18,9,79.4,44.3,772,16.9,copywriting,Colombia,basic,part_time,rising_talent
61,9.85,1.6,4.37,34,76.5,20.4,1963,5.8,digital_marketing,Peru,advanced,full_time,none
62,56.28,12.4,4.87,283,99.7,6.6,2919,58.3,data_analysis,El Salvador,intermediate,full_time,none
63,35.96,4.5,4.6,85,82.4,14.5,1252,37.5,customer_support,Chile,advanced,part_time,none
64,21.94,0.3,3.71,35,68.1,27.2,1602,17.4,graphic_design,Costa Rica,advanced,weekends,top_rated
65,24.03,7.2,3.06,61,76.4,64.2,2044,2.0,copywriting,Guatemala,intermediate,part_time,none
66,67.74,12.3,4.86,90,90.5,3.3,2067,89.4,mobile_development,Argentina,advanced,part_time,rising_talent
67,74.8,9.2,4.99,146,95.4,6.6,2053,45.5,mobile_development,Peru,basic,part_time,none
68,22.84,3.3,4.47,71,89.2,4.4,1453,35.2,digital_marketing,El Salvador,advanced,part_time,expert_vetted
69,66.31,7.9,4.88,307,90.7,1.6,5383,70.4,copywriting,Costa Rica,native,full_time,top_rated
70,22.48,5.8,4.71,108,94.3,10.2,3876,49.6,copywriting,El Salvador,intermediate,full_time,none
71,26.37,6.8,4.61,85,82.9,13.8,3206,18.7,graphic_design,Guatemala,advanced,full_time,none
72,12.95,2.0,4.18,4,87.3,32.8,726,10.1,customer_support,Argentina,advanced,full_time,top_rated
73,11.9,0.7,3.89,2,79.0,35.0,810,17.9,digital_marketing,Peru,intermediate,part_time,none
74,48.48,12.9,4.99,126,97.5,2.5,3004,61.0,copywriting,Mexico,native,part_time,rising_talent
75,9.14,1.3,3.88,29,74.5,18.2,1012,13.8,customer_support,Chile,basic,full_time,top_rated
76,12.22,0.6,3.62,17,71.7,14.6,740,13.4,mobile_development,Peru,basic,weekends,none
77,20.9,2.6,4.02,26,81.3,25.9,1255,4.6,customer_support,Peru,basic,weekends,none
78,33.1,4.6,4.39,68,85.1,13.1,1716,18.1,copywriting,Peru,advanced,weekends,rising_talent
79,10.05,0.6,4.04,5,69.1,39.4,601,13.4,copywriting,Peru,intermediate,part_time,none
80,26.87,3.2,4.5,64,88.5,3.5,2500,29.7,data_analysis,Costa Rica,intermediate,full_time,rising_talent
81,31.34,8.3,3.58,46,65.0,45.1,2232,19.2,copywriting,Mexico,intermediate,part_time,none
82,30.99,5.1,4.3,72,94.9,8.0,1323,46.0,copywriting,Mexico,intermediate,full_time,none
83,19.92,2.9,4.04,10,72.7,32.1,1056,5.3,machine_learning,Colombia,advanced,limited,none
84,39.79,6.3,4.6,119,96.0,14.9,2603,18.7,copywriting,Chile,intermediate,part_time,verified
85,25.66,3.6,4.25,37,89.1,10.0,1854,44.5,graphic_design,Costa Rica,intermediate,part_time,rising_talent
86,42.57,5.9,4.23,71,91.5,6.1,2461,32.8,mobile_development,Argentina,intermediate,weekends,top_rated
87,63.39,14.6,4.99,316,97.7,6.4,4114,65.1,graphic_design,Chile,basic,full_time,none
88,42.59,5.6,2.95,15,70.2,32.7,524,18.1,customer_support,Peru,native,full_time,none
89,29.65,3.3,4.33,65,95.0,13.9,1054,41.0,customer_support,Colombia,advanced,full_time,top_rated
90,12.82,2.9,2.98,98,65.1,40.9,1350,15.5,machine_learning,El Salvador,basic,weekends,top_rated
91,35.8,5.3,4.63,62,88.0,11.0,1695,24.6,copywriting,Mexico,native,full_time,rising_talent
92,20.51,6.5,4.23,74,95.7,6.3,2030,15.6,data_analysis,Peru,basic,full_time,none
93,86.52,12.5,4.99,325,96.3,6.7,6916,43.2,mobile_development,Guatemala,advanced,weekends,none
94,29.96,6.3,4.48,29,92.5,5.5,1248,29.3,digital_marketing,Mexico,advanced,full_time,none
95,43.91,4.4,4.31,113,89.0,15.0,3202,35.8,machine_learning,Colombia,advanced,full_time,none
96,60.32,11.8,4.77,307,93.5,1.3,11010,83.5,web_development,Mexico,advanced,full_time,top_rated
97,53.0,7.2,4.94,304,90.3,1.5,6154,78.9,web_development,Colombia,advanced,limited,none
98,73.7,11.2,4.76,222,92.5,1.8,4670,76.8,data_analysis,Chile,advanced,full_time,none
99,37.35,7.0,4.32,42,93.9,8.9,1133,50.9,copywriting,Peru,advanced,full_time,none
100,23.94,5.8,4.62,47,93.1,9.6,1361,19.9,customer_support,Guatemala,intermediate,full_time,top_rated
101,17.58,9.0,2.88,55,78.0,56.8,1737,10.5,graphic_design,Peru,advanced,full_time,rising_talent
102,41.95,6.1,4.58,48,92.7,4.7,1991,35.1,graphic_design,Chile,intermediate,full_time,rising_talent
103,43.52,6.6,4.71,57,84.7,15.4,1496,26.0,graphic_design,Colombia,intermediate,full_time,verified
104,43.1,3.2,4.72,35,82.6,11.3,1430,38.1,web_development,El Salvador,native,full_time,top_rated
105,26.12,6.2,4.44,83,83.0,3.8,1742,32.6,graphic_design,Peru,advanced,part_time,expert_vetted
106,29.97,6.0,4.51,38,86.5,9.1,700,25.7,machine_learning,Costa Rica,intermediate,weekends,none
107,34.44,4.3,4.66,88,95.9,9.1,1319,50.2,customer_support,Argentina,intermediate,full_time,none
108,42.06,5.6,4.48,93,82.1,4.4,2074,20.4,copywriting,Guatemala,intermediate,full_time,none
109,21.84,5.0,4.66,60,93.6,11.1,1018,39.4,copywriting,Peru,advanced,part_time,top_rated
110,21.13,3.5,4.4,85,89.3,4.9,3143,50.7,graphic_design,Costa Rica,native,full_time,none
111,40.71,5.1,4.63,63,88.6,3.2,1527,28.2,web_development,El Salvador,intermediate,full_time,expert_vetted
112,25.69,3.2,4.49,92,90.8,11.1,2458,48.6,data_analysis,Argentina,basic,part_time,none
113,65.52,13.2,4.97,111,97.1,4.6,2706,68.0,copywriting,Colombia,intermediate,full_time,top_rated
114,88.38,12.4,4.92,215,96.1,2.3,3329,52.3,digital_marketing,Argentina,advanced,full_time,top_rated
115,43.36,5.9,4.37,98,91.5,7.9,4132,54.2,graphic_design,Chile,basic,limited,none
116,40.21,7.7,3.06,73,53.9,48.3,2289,5.4,mobile_development,Guatemala,advanced,full_time,top_rated
117,13.79,2.2,3.59,9,65.1,30.9,1198,23.4,customer_support,El Salvador,advanced,full_time,none
118,21.48,6.1,4.59,54,89.5,12.4,1544,52.5,graphic_design,Guatemala,native,full_time,top_rated
119,53.37,9.3,3.85,6,54.8,50.6,777,18.6,customer_support,Colombia,advanced,full_time,none
120,10.27,1.4,3.73,12,65.3,22.8,783,8.8,machine_learning,Costa Rica,intermediate,part_time,top_rated
121,9.97,1.0,3.72,17,73.8,27.0,989,8.1,web_development,Chile,advanced,full_time,none
122,12.3,1.2,3.95,20,80.9,34.3,415,23.6,customer_support,Colombia,intermediate,limited,none
123,90.64,13.1,4.92,191,97.6,5.8,4778,69.8,copywriting,Mexico,native,part_time,rising_talent
124,20.69,5.8,3.0,71,59.6,54.7,2747,14.3,web_development,El Salvador,basic,full_time,top_rated
125,36.82,4.2,4.21,57,93.4,12.7,1051,38.1,web_development,Mexico,native,full_time,none
126,9.9,1.9,4.16,27,73.6,43.9,573,12.3,graphic_design,Peru,basic,limited,none
127,21.7,2.5,4.18,20,75.6,37.3,755,11.8,copywriting,Colombia,intermediate,limited,rising_talent
128,19.33,1.3,4.19,2,70.5,12.6,945,15.7,web_development,Argentina,advanced,full_time,none
129,20.09,0.2,3.95,19,70.4,44.8,1386,15.3,copywriting,Argentina,intermediate,part_time,top_rated
130,12.21,0.2,4.35,12,79.4,26.2,1088,13.4,machine_learning,Peru,advanced,full_time,none
131,15.53,0.7,3.7,10,83.5,44.8,367,14.9,machine_learning,Argentina,intermediate,full_time,none
132,29.28,5.1,4.7,31,85.8,11.8,1184,39.1,mobile_development,El Salvador,intermediate,limited,none
133,21.11,2.7,3.69,100,78.0,43.9,1597,4.9,copywriting,Chile,intermediate,full_time,none
134,15.18,1.5,3.59,31,82.5,22.2,1170,6.7,mobile_development,Colombia,basic,full_time,top_rated
135,59.76,8.6,4.69,205,95.0,5.6,6927,74.2,customer_support,El Salvador,intermediate,weekends,none
136,69.42,14.3,4.82,110,95.2,6.9,1030,43.7,machine_learning,Colombia,advanced,part_time,rising_talent
137,15.08,1.1,4.06,31,80.2,10.6,1000,14.2,digital_marketing,Chile,basic,weekends,rising_talent
138,90.49,7.9,4.64,156,92.4,5.3,4676,52.6,copywriting,Costa Rica,intermediate,part_time,rising_talent
139,40.7,3.3,4.8,108,92.6,4.2,1036,30.2,graphic_design,Mexico,intermediate,full_time,rising_talent
140,41.45,3.4,4.52,30,85.2,14.7,535,42.7,digital_marketing,Guatemala,intermediate,weekends,none
141,10.02,2.5,4.24,5,71.9,31.4,684,15.0,copywriting,Costa Rica,advanced,part_time,expert_vetted
142,70.04,14.8,4.62,303,92.3,1.5,8088,70.3,copywriting,Guatemala,advanced,weekends,top_rated
143,15.74,1.1,3.67,25,67.0,33.5,412,20.4,machine_learning,Colombia,advanced,part_time,none
144,12.32,1.1,3.74,9,67.0,26.4,188,14.8,copywriting,Mexico,advanced,weekends,verified
145,13.79,2.3,4.15,16,78.2,16.4,762,10.8,graphic_design,Mexico,intermediate,part_time,none
146,63.06,14.6,4.89,333,95.9,2.4,11534,45.3,machine_learning,Peru,intermediate,full_time,rising_talent
147,74.72,9.4,4.84,182,94.8,2.2,5715,59.9,customer_support,Argentina,intermediate,part_time,rising_talent
148,43.3,3.8,4.8,48,91.5,10.2,1750,53.1,digital_marketing,Mexico,advanced,weekends,none
149,35.83,4.0,4.6,116,87.9,7.9,3298,33.0,machine_learning,Guatemala,advanced,full_time,verified
150,35.95,3.3,4.66,109,91.3,5.2,3432,39.5,machine_learning,Peru,native,full_time,none
151,15.15,1.6,4.02,15,75.3,24.9,675,19.8,web_development,El Salvador,basic,full_time,expert_vetted
152,21.17,0.4,3.78,30,83.0,29.8,1287,10.0,copywriting,Mexico,intermediate,weekends,none
153,77.4,12.4,4.67,204,95.2,4.9,4992,56.5,machine_learning,Colombia,intermediate,full_time,none
154,89.15,10.6,4.77,82,97.0,2.4,898,77.6,graphic_design,Peru,intermediate,full_time,none
155,34.69,6.8,3.52,83,58.0,24.2,1739,7.0,digital_marketing,Mexico,advanced,part_time,none
156,13.23,0.4,3.85,9,78.2,26.1,472,13.2,graphic_design,El Salvador,intermediate,part_time,rising_talent
157,41.64,6.8,4.49,49,93.4,15.5,1722,35.2,customer_support,El Salvador,intermediate,full_time,rising_talent
158,8.46,0.7,3.76,30,78.0,39.4,977,13.4,copywriting,Guatemala,advanced,full_time,none
159,38.4,5.6,4.35,29,88.3,7.5,1804,47.7,mobile_development,Argentina,advanced,full_time,none
160,76.64,8.3,4.66,185,98.1,6.6,4633,68.5,copywriting,Chile,intermediate,part_time,verified
161,41.21,1.9,3.96,57,75.3,71.6,2043,17.3,graphic_design,Peru,advanced,full_time,rising_talent
162,34.44,4.1,4.45,82,83.1,13.3,3027,45.8,copywriting,El Salvador,native,full_time,none
163,81.64,12.8,4.78,263,98.5,6.6,8467,59.9,digital_marketing,Peru,advanced,full_time,top_rated
164,32.13,4.4,4.61,31,82.6,11.1,1186,48.5,customer_support,El Salvador,basic,limited,none
165,51.6,12.2,4.66,220,90.9,3.5,5667,44.1,machine_learning,Chile,advanced,full_time,none
166,9.33,0.6,3.57,15,76.9,26.9,1048,2.2,machine_learning,Colombia,intermediate,part_time,none
167,50.16,9.9,4.72,275,97.7,6.3,3803,46.7,web_development,Colombia,intermediate,full_time,top_rated
168,13.76,2.1,4.27,6,85.6,15.3,543,4.8,copywriting,Colombia,intermediate,full_time,none
169,38.03,4.1,4.76,28,93.9,11.6,1374,27.1,machine_learning,Chile,advanced,weekends,rising_talent
170,13.4,0.7,4.07,5,77.2,47.2,938,24.7,machine_learning,Peru,advanced,part_time,top_rated
171,15.14,6.3,2.82,32,46.3,21.3,1312,15.8,machine_learning,Costa Rica,advanced,part_time,top_rated
172,26.94,4.2,4.51,51,95.6,5.0,2123,28.1,data_analysis,Chile,advanced,full_time,rising_talent
173,9.21,1.3,3.91,4,72.1,38.2,826,19.0,web_development,Colombia,intermediate,full_time,top_rated
174,57.96,10.0,4.9,217,97.3,1.8,4787,85.0,data_analysis,Chile,advanced,full_time,none
175,29.0,5.0,4.54,72,84.2,13.1,1558,50.8,web_development,Guatemala,advanced,part_time,none
176,43.01,3.7,4.78,29,89.7,14.9,909,44.6,copywriting,Chile,advanced,full_time,none
177,47.63,8.8,4.81,103,99.5,1.5,3508,63.3,data_analysis,El Salvador,basic,part_time,top_rated
178,35.57,4.9,4.56,88,96.0,13.1,2749,44.3,web_development,Costa Rica,basic,full_time,top_rated
179,45.48,9.7,4.9,272,98.5,6.1,4428,45.2,web_development,Colombia,advanced,part_time,verified
180,34.35,7.3,3.25,100,47.8,23.2,1583,2.7,web_development,Costa Rica,advanced,part_time,none
181,91.3,10.1,4.93,247,93.2,2.9,7775,43.7,data_analysis,Colombia,basic,full_time,none
182,13.02,2.3,3.91,30,71.1,14.6,1622,5.6,web_development,Argentina,advanced,full_time,none
183,12.98,1.5,4.11,17,83.9,16.6,954,23.9,mobile_development,Mexico,intermediate,weekends,none
184,19.63,2.9,3.62,26,73.6,34.0,1221,16.8,data_analysis,Guatemala,native,part_time,top_rated
185,49.6,13.8,4.92,142,90.4,4.2,4690,48.4,customer_support,Guatemala,intermediate,full_time,none
186,23.82,5.0,2.98,83,65.4,31.3,1960,5.9,data_analysis,Chile,intermediate,full_time,top_rated
187,57.46,15.0,4.82,89,99.9,6.5,2455,58.0,copywriting,Costa Rica,intermediate,part_time,top_rated
188,19.35,0.8,4.23,31,77.2,39.1,1003,25.0,mobile_development,Chile,advanced,weekends,rising_talent
189,92.39,11.6,4.99,278,93.5,6.9,7496,82.3,copywriting,Guatemala,advanced,full_time,top_rated
190,21.28,2.5,4.23,32,77.5,16.7,795,2.9,customer_support,Guatemala,intermediate,full_time,rising_talent
191,24.44,6.2,4.72,32,82.3,10.6,1868,51.7,copywriting,Mexico,intermediate,limited,none
192,12.22,0.4,3.64,28,83.2,46.5,1666,16.9,copywriting,Argentina,advanced,weekends,none
193,59.73,8.4,4.6,280,98.5,6.4,5473,68.4,mobile_development,Mexico,native,part_time,rising_talent
194,21.75,0.5,4.3,6,83.9,35.5,263,18.8,mobile_development,Mexico,intermediate,weekends,rising_talent
195,14.14,1.3,3.65,27,76.3,24.4,1449,14.6,mobile_development,Colombia,intermediate,weekends,none
196,11.66,0.3,3.81,25,68.7,12.9,1056,23.7,customer_support,Guatemala,intermediate,full_time,top_rated
197,21.34,4.3,4.78,77,91.8,12.4,1444,44.2,data_analysis,Guatemala,intermediate,full_time,top_rated
198,8.05,0.3,4.24,31,69.6,11.0,1180,5.9,data_analysis,Chile,advanced,full_time,verified
199,16.99,1.2,3.83,25,73.5,26.9,627,8.1,web_development,Colombia,advanced,full_time,none
200,33.54,6.9,4.55,95,82.9,8.0,3008,35.9,mobile_development,El Salvador,intermediate,full_time,verified
201,16.0,1.6,4.01,10,67.8,38.8,1169,6.0,mobile_development,Colombia,basic,part_time,rising_talent
202,19.52,0.4,4.04,21,85.9,44.7,726,3.5,digital_marketing,El Salvador,native,part_time,rising_talent
203,39.54,3.5,4.29,97,90.2,12.9,2352,52.6,digital_marketing,Peru,advanced,part_time,top_rated
204,31.83,3.7,4.44,104,90.5,12.0,2005,16.6,web_development,El Salvador,native,limited,none
205,60.15,9.2,4.8,130,99.7,2.6,4084,55.0,digital_marketing,Costa Rica,advanced,part_time,none
206,29.51,5.4,3.42,52,72.1,45.8,1265,3.2,web_development,Colombia,intermediate,weekends,rising_talent
207,14.39,2.8,4.13,18,73.5,27.6,722,11.1,copywriting,El Salvador,advanced,part_time,verified
208,28.74,3.7,4.74,120,93.6,4.2,4524,16.1,mobile_development,Argentina,advanced,full_time,none
209,20.5,6.1,4.66,26,88.6,4.7,987,21.9,digital_marketing,Chile,intermediate,full_time,none
210,14.53,2.0,4.24,26,78.4,10.3,1371,25.0,digital_marketing,Chile,advanced,full_time,none
211,12.55,0.8,4.09,20,69.3,29.7,1451,7.5,machine_learning,Peru,advanced,full_time,top_rated
212,23.16,4.8,3.27,9,64.2,71.7,947,16.3,customer_support,Peru,intermediate,weekends,rising_talent
213,19.79,1.9,2.95,38,68.9,48.2,1896,18.3,data_analysis,Argentina,intermediate,full_time,none
214,61.57,9.1,4.72,140,94.7,7.1,1588,69.2,data_analysis,Costa Rica,intermediate,full_time,verified
215,21.89,1.0,4.39,30,68.3,42.8,690,6.1,copywriting,Guatemala,basic,part_time,rising_talent
216,18.7,1.5,4.19,6,68.0,26.5,129,11.9,web_development,Argentina,advanced,limited,verified
217,71.55,7.1,4.6,207,92.3,7.1,4782,55.6,graphic_design,Mexico,advanced,part_time,none
218,74.82,9.7,4.96,148,93.4,7.3,5803,58.0,machine_learning,Guatemala,intermediate,full_time,none
219,74.48,8.4,4.75,99,93.8,5.5,2428,78.6,data_analysis,Guatemala,basic,part_time,none
220,11.54,2.1,3.68,1,71.9,35.1,164,17.2,machine_learning,Mexico,intermediate,full_time,none
221,69.89,11.9,4.91,347,99.7,3.5,8123,60.5,customer_support,Peru,intermediate,part_time,none
222,16.04,1.5,4.35,33,66.7,37.5,973,22.8,digital_marketing,El Salvador,basic,weekends,verified
223,63.01,12.4,4.77,139,90.9,6.3,3775,42.3,copywriting,Peru,native,limited,none
224,63.63,9.7,4.65,284,99.6,2.9,9069,59.3,graphic_design,Mexico,basic,full_time,expert_vetted
225,50.19,14.3,4.79,304,91.8,3.7,8908,57.9,graphic_design,El Salvador,native,part_time,none
226,11.66,0.9,4.13,34,82.7,31.9,1232,15.0,data_analysis,Costa Rica,advanced,part_time,none
227,64.24,13.7,4.82,107,90.1,7.5,2457,65.3,data_analysis,El Salvador,intermediate,full_time,none
228,33.76,4.5,4.69,35,88.4,13.4,823,32.9,customer_support,Guatemala,basic,full_time,top_rated
229,9.27,1.8,4.06,20,85.5,31.4,1189,17.1,web_development,Argentina,advanced,full_time,rising_talent
230,37.92,4.5,4.47,37,92.6,5.9,1557,28.7,copywriting,Mexico,basic,part_time,none
231,81.08,7.9,4.84,176,91.2,7.0,2659,50.8,data_analysis,Costa Rica,basic,full_time,rising_talent
232,20.48,1.4,4.03,33,68.1,29.0,1955,14.2,customer_support,Colombia,advanced,part_time,rising_talent
233,17.21,1.8,3.79,25,74.6,33.1,819,17.9,digital_marketing,El Salvador,advanced,part_time,top_rated
234,34.03,8.6,3.46,45,68.5,68.5,1415,12.7,copywriting,Colombia,native,full_time,expert_vetted
235,37.36,4.3,4.27,70,89.9,10.6,2695,52.7,digital_marketing,Costa Rica,advanced,full_time,none
236,17.38,0.6,4.18,11,87.6,36.0,528,5.4,web_development,Peru,advanced,part_time,verified
237,88.24,12.9,4.82,201,95.1,6.6,2252,74.8,machine_learning,Costa Rica,native,limited,none
238,20.32,4.0,4.57,81,93.6,14.8,2858,43.2,mobile_development,Argentina,intermediate,part_time,rising_talent
239,10.43,1.5,3.84,28,71.4,20.0,705,5.7,graphic_design,Guatemala,intermediate,full_time,none
240,38.47,7.0,3.39,78,63.2,21.9,3172,14.2,data_analysis,Colombia,intermediate,full_time,none
241,10.99,1.0,3.82,14,86.9,33.5,1060,12.9,web_development,Mexico,advanced,full_time,verified
242,35.53,6.8,4.61,66,87.3,13.4,1843,19.5,copywriting,El Salvador,intermediate,part_time,top_rated
243,22.06,3.4,4.78,93,89.5,11.2,1980,23.4,machine_learning,Mexico,intermediate,weekends,verified
244,66.76,13.5,4.63,158,90.2,6.0,2280,41.9,data_analysis,Argentina,native,full_time,top_rated
245,27.91,4.6,4.27,25,91.0,11.0,747,45.2,copywriting,Mexico,intermediate,full_time,top_rated
246,43.17,4.5,4.69,28,88.6,9.9,1384,20.5,digital_marketing,Colombia,intermediate,weekends,expert_vetted
247,39.86,9.6,2.81,76,49.7,20.3,1818,11.5,digital_marketing,Argentina,advanced,limited,none
248,36.15,5.1,4.3,53,90.6,6.3,1290,19.6,customer_support,Mexico,intermediate,part_time,none
249,69.36,9.6,4.65,200,91.0,5.3,4664,85.0,digital_marketing,Colombia,advanced,full_time,none
250,20.12,4.0,4.33,119,91.0,6.6,2508,29.4,customer_support,El Salvador,intermediate,part_time,top_rated
251,16.49,2.5,4.27,9,85.5,17.5,267,18.9,web_development,Costa Rica,advanced,part_time,none
252,20.52,1.6,4.09,10,73.4,18.5,633,19.8,data_analysis,Costa Rica,intermediate,part_time,none
253,54.22,7.2,3.71,22,59.7,27.7,1503,19.0,customer_support,Peru,basic,full_time,none
254,11.28,2.0,3.97,24,73.9,44.9,717,22.3,digital_marketing,Chile,advanced,full_time,none
255,34.69,6.6,4.25,57,87.3,14.8,2289,35.7,customer_support,Guatemala,intermediate,part_time,none
256,17.01,0.6,3.67,24,78.8,41.0,521,17.2,customer_support,El Salvador,intermediate,full_time,top_rated
257,26.09,3.5,4.56,42,90.8,3.5,812,37.9,machine_learning,Guatemala,advanced,full_time,rising_talent
258,21.31,6.5,3.37,66,50.6,62.8,2176,12.0,digital_marketing,Colombia,advanced,full_time,top_rated
259,25.75,4.5,4.27,50,89.3,14.8,1398,42.4,customer_support,Guatemala,advanced,full_time,rising_talent
